caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-069,1946-069-01,1946-069-01-01,1946-069-01-01-01,3/10/1947,opinion of the court (orally argued),330 U.S. 518,67 S. Ct. 828,91 L. Ed. 1067,1947 U.S. LEXIS 2552,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,206,KOSTER v. (AMERICAN) LUMBERMENS MUTUAL CASUALTY CO.,12/19/1946,,"stockholder, shareholder, or bondholder",,"insurance company, or surety",,cert,,,no mention that a 3-judge ct heard case,New York Eastern U.S. District Court,37,"U.S. Court of Appeals, Second Circuit",,dissent in ct whose dec the sct reviewed,no reason given,affirmed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,venue,Judicial Power,liberal,dissent in opposite direction,federal common law,statutory construction,Court Rules,"Federal Rules of Civil Procedure, including Appellate Procedure, or relevant rules of a circuit court Judicial Code, and admiralty rules",,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,5,4
1946-070,1946-070-01,1946-070-01-01,1946-070-01-01-01,3/17/1947,opinion of the court (orally argued),330 U.S. 539,67 S. Ct. 891,91 L. Ed. 1082,1947 U.S. LEXIS 2526,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,417,"UNITED STATES DEPARTMENT OF AGRICULTURE, EMERGENCY CROP AND FEED LOANS v. REMUND, ADMINISTRATOR",2/5/1947,,Department or Secretary of Agriculture,,"agent, fiduciary, trustee, or executor",,cert,Farm Credit Administration,,no mention that a 3-judge ct heard case,State Trial Court,49,State Supreme Court,South Dakota,no mention that dissent occurred,to resolve important or significant question,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,priority of federal fiscal claims: over those of the states or private entities,Federal Taxation,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,31 U.S.C. € 191,"FMurphy 	Murphy, Francis ( 02/05/1940 - 07/19/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,1
1946-071,1946-071-01,1946-071-01-01,1946-071-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 545,67 S. Ct. 883,91 L. Ed. 1088,1947 U.S. LEXIS 2944,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,564,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. GENERAL INDUSTRIES CO.",2/10/1947,,Department or Secretary of Labor,,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,cert,,,no mention that a 3-judge ct heard case,Ohio Northern U.S. District Court,41,"U.S. Court of Appeals, Sixth Circuit",,no mention that dissent occurred,putative conflict,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,Fair Labor Standards Act,Unions,conservative,dissent in opposite direction,statutory construction,,Federal Statute,Fair Labor Standards,,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-072,1946-072-01,1946-072-01-01,1946-072-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 552,67 S. Ct. 910,91 L. Ed. 1093,1947 U.S. LEXIS 2870,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,291,KOTCH ET AL. v. BOARD OF RIVER PORT PILOT COMMISSIONERS FOR THE PORT OF NEW ORLEANS ET AL.,2/5/1947,,"holder of a license or permit, or applicant therefor",,"state commission, board, committee, or authority",Louisiana,appeal,State Agency,Louisiana,no mention that a 3-judge ct heard case,State Trial Court,22,State Supreme Court,Louisiana,no mention that dissent occurred,case did not arise on cert or cert not granted,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions.",Civil Rights,conservative,dissent in opposite direction,judicial review (state level),,Constitutional Amendment,Fourteenth Amendment (equal protection),,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,5,4
1946-073,1946-073-01,1946-073-01-01,1946-073-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 567,67 S. Ct. 894,91 L. Ed. 1102,1947 U.S. LEXIS 2871,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,72,"INTERSTATE COMMERCE COMMISSION v. MECHLING, DOING BUSINESS AS A. L. MECHLING BARGE LINE, ET AL.",2/12/1947,,Interstate Commerce Commission,,"water transportation, stevedore",,appeal,Interstate Commerce Commission,,3-judge district ct heard case,Illinois Northern U.S. District Court,17,Illinois Northern U.S. District Court,Illinois,no mention that dissent occurred,case did not arise on cert or cert not granted,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,federal and some few state regulations of transportation regulation: boat,Economic Activity,liberal,dissent in opposite direction,"interpretation of administrative regulation or rule, or executive order",statutory construction,Federal Statute,"Interstate Commerce, as amended",,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
1946-074,1946-074-01,1946-074-01-01,1946-074-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 585,67 S. Ct. 918,91 L. Ed. 1117,1947 U.S. LEXIS 2471,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,453,PENFIELD COMPANY OF CALIFORNIA ET AL. v. SECURITIES & EXCHANGE COMMISSION,1/16/1947,,"management, executive officer, or director, of business entity",,Securities and Exchange Commission,,cert,Securities and Exchange Commission,,no mention that a 3-judge ct heard case,"U.S. Court of Appeals, Ninth Circuit",,"U.S. Court of Appeals, Ninth Circuit",,no mention that dissent occurred,no reason given,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,contempt of court or congress,Criminal Procedure,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,28 U.S.C. € 385,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
1946-075,1946-075-01,1946-075-01-01,1946-075-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 610,67 S. Ct. 903,91 L. Ed. 1133,1947 U.S. LEXIS 2472,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,384,NEW YORK EX REL. HALVEY v. HALVEY,2/5/1947,,"wife, or ex-wife",,"husband, or ex-husband",,cert,,,no mention that a 3-judge ct heard case,State Trial Court,37,State Supreme Court,New York,no mention that dissent occurred,to resolve important or significant question,affirmed,unspecifiable,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,miscellaneous interstate relations conflict,Interstate Relations,unspecifiable,dissent in opposite direction,judicial review (state level),,Constitution,"Article IV, Section 1 (full faith and credit clause)",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-076,1946-076-01,1946-076-01-01,1946-076-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 622,67 S. Ct. 886,91 L. Ed. 1140,1947 U.S. LEXIS 2473,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,270,INDUSTRIAL COMMISSION OF WISCONSIN ET AL. v. McCARTIN ET AL.,1/17/1947,,"state commission, board, committee, or authority",Wisconsin,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,cert,State Agency,Wisconsin,no mention that a 3-judge ct heard case,State Trial Court,58,State Supreme Court,Wisconsin,no mention that dissent occurred,to resolve question presented,affirmed,unspecifiable,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,miscellaneous interstate relations conflict,Interstate Relations,unspecifiable,dissent in opposite direction,judicial review (state level),,Constitution,"Article IV, Section 1 (full faith and credit clause)",,"FMurphy 	Murphy, Francis ( 02/05/1940 - 07/19/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-077,1946-077-01,1946-077-01-01,1946-077-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 631,67 S. Ct. 874,91 L. Ed. 1145,1947 U.S. LEXIS 2474,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,49,HAUPT v. UNITED STATES,11/21/1946,,"person accused, indicted, or suspected of crime",,United States,,cert,,,no mention that a 3-judge ct heard case,Illinois Northern U.S. District Court,17,"U.S. Court of Appeals, Seventh Circuit",,dissent in ct whose dec the sct reviewed,no reason given,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,"miscellaneous criminal procedure (cf. due process, prisoners' rights, comity: criminal procedure)",Criminal Procedure,conservative,dissent in opposite direction,judicial review (national level),,Constitution,"Article III, Section 3 (treason clause)",,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,1
1946-078,1946-078-01,1946-078-01-01,1946-078-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 649,67 S. Ct. 931,91 L. Ed. 1158,1947 U.S. LEXIS 2853,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,22,LEVINSON v. SPECTOR MOTOR SERVICE,12/11/1945,10/21/1946,"employee, or job applicant, including beneficiaries of",,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,cert,Interstate Commerce Commission,,no mention that a 3-judge ct heard case,State Trial Court,17,State Supreme Court,Illinois,no mention that dissent occurred,to resolve important or significant question,reversed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,Fair Labor Standards Act,Unions,conservative,dissent in opposite direction,statutory construction,,Federal Statute,Fair Labor Standards,,"HHBurton 	Burton, Harold ( 10/01/1945 - 10/13/1958 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-079,1946-079-01,1946-079-01-01,1946-079-01-01-01,3/31/1947,opinion of the court (orally argued),330 U.S. 695,67 S. Ct. 954,91 L. Ed. 1184,1947 U.S. LEXIS 2892,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,41,PYRAMID MOTOR FREIGHT CORP. v. ISPASS ET AL.,10/22/1946,,"trucking company, or motor carrier",,"employee, or job applicant, including beneficiaries of",,cert,Interstate Commerce Commission,,no mention that a 3-judge ct heard case,New York Southern U.S. District Court,37,"U.S. Court of Appeals, Second Circuit",,no mention that dissent occurred,to resolve important or significant question,reversed and remanded,liberal,no declaration of unconstitutionality,vacated and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,Fair Labor Standards Act,Unions,conservative,dissent in opposite direction,statutory construction,,Federal Statute,Motor Carrier,,"HHBurton 	Burton, Harold ( 10/01/1945 - 10/13/1958 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-080,1946-080-01,1946-080-01-01,1946-080-01-01-01,4/7/1947,opinion of the court (orally argued),330 U.S. 709,67 S. Ct. 997,91 L. Ed. 1192,1947 U.S. LEXIS 2438,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,430,"UNITED STATES v. OGILVIE HARDWARE CO., INC.",3/5/1947,,United States,,"taxpayer or executor of taxpayer's estate, federal only",,cert,,,no mention that a 3-judge ct heard case,Louisiana Western U.S. District Court,22,"U.S. Court of Appeals, Fifth Circuit",,no mention that dissent occurred,putative conflict,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,"federal taxation, typically under provisions of the Internal Revenue Code",Federal Taxation,conservative,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,56 Stat. 798,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
1946-081,1946-081-01,1946-081-01-01,1946-081-01-01-01,4/7/1947,opinion of the court (orally argued),330 U.S. 724,67 S. Ct. 1004,91 L. Ed. 1204,1947 U.S. LEXIS 2439,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,585,UNITED STATES v. LEM HOY,3/14/1947,,United States,,"person accused, indicted, or suspected of crime",,appeal,,,no mention that a 3-judge ct heard case,California Southern U.S. District Court,6,California Southern U.S. District Court,California,no mention that dissent occurred,case did not arise on cert or cert not granted,,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,statutory construction of criminal laws: immigration (cf. immigration and naturalization),Criminal Procedure,conservative,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,50 U.S.C. € 1355,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-082,1946-082-01,1946-082-01-01,1946-082-01-01-01,4/7/1947,opinion of the court (orally argued),330 U.S. 731,67 S. Ct. 1009,91 L. Ed. 1209,1947 U.S. LEXIS 2868,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,207,"LAND, CHAIRMAN, UNITED STATES MARITIME COMMISSION, ET AL. v. DOLLAR ET AL.",2/11/1947,,Federal Maritime Commission,,"stockholder, shareholder, or bondholder",,cert,Federal Maritime Commission,,no mention that a 3-judge ct heard case,District Of Columbia U.S. District Court,10,"U.S. Court of Appeals, District of Columbia Circuit (includes the Court of Appeals for the District of Columbia but not the District of Columbia Court of Appeals, which has local jurisdiction)",,no mention that dissent occurred,to resolve important or significant question,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,judicial administration: jurisdiction or authority of federal district courts or territorial courts,Judicial Power,liberal,dissent in opposite direction,statutory construction,,Court Rules,"Federal Rules of Civil Procedure, including Appellate Procedure, or relevant rules of a circuit court Judicial Code, and admiralty rules",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,0
1946-083,1946-083-01,1946-083-01-01,1946-083-01-01-01,4/7/1947,opinion of the court (orally argued),330 U.S. 743,67 S. Ct. 1015,91 L. Ed. 1219,1947 U.S. LEXIS 2440,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,27,"BRUCE'S JUICES, INC. v. AMERICAN CAN CO.",1/29/1946,11/14/1946,"food, meat packing, or processing company, stockyard",,manufacturer,,cert,,,no mention that a 3-judge ct heard case,State Trial Court,12,State Supreme Court,Florida,no mention that dissent occurred,no reason given,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,antitrust (except in the context of mergers and union antitrust),Economic Activity,conservative,dissent in opposite direction,statutory construction,,Federal Statute,Robinson-Patman,,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,5,4
1946-084,1946-084-01,1946-084-01-01,1946-084-01-01-01,4/7/1947,opinion of the court (orally argued),330 U.S. 767,67 S. Ct. 1026,91 L. Ed. 1234,1947 U.S. LEXIS 2943,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,55,BETHLEHEM STEEL CO. ET AL. v. NEW YORK STATE LABOR RELATIONS BOARD,12/14/1946,,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,"state commission, board, committee, or authority",New York,appeal,State Agency,New York,no mention that a 3-judge ct heard case,State Trial Court,37,State Supreme Court,New York,no mention that dissent occurred,case did not arise on cert or cert not granted,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.,Federalism,liberal,dissent in opposite direction,statutory construction,,Federal Statute,"National Labor Relations, as amended",,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-085,1946-085-01,1946-085-01-01,1946-085-01-01-01,4/14/1947,opinion of the court (orally argued),331 U.S. 1,67 S. Ct. 1047,91 L. Ed. 1301,1947 U.S. LEXIS 3021,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,68,CRANE v. COMMISSIONER OF INTERNAL REVENUE,12/11/1946,,"taxpayer or executor of taxpayer's estate, federal only",,"Internal Revenue Service, Collector, Commissioner, or District Director of",,cert,,,no mention that a 3-judge ct heard case,U.S. Tax Court,,"U.S. Court of Appeals, Second Circuit",,no mention that dissent occurred,to resolve important or significant question,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,"federal taxation, typically under provisions of the Internal Revenue Code",Federal Taxation,liberal,dissent in opposite direction,statutory construction,,Federal Statute,Internal Revenue Code and pre-IRC revenue acts,,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-086,1946-086-01,1946-086-01-01,1946-086-01-01-01,4/14/1947,opinion of the court (orally argued),331 U.S. 17,67 S. Ct. 1056,91 L. Ed. 1312,1947 U.S. LEXIS 2941,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,74,"WALLING, WAGE AND HOUR ADMINISTRATOR, v. HALLIBURTON OIL WELL CEMENTING CO.",2/7/1947,,Department or Secretary of Labor,,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,cert,,,no mention that a 3-judge ct heard case,California Southern U.S. District Court,6,"U.S. Court of Appeals, Ninth Circuit",,no mention that dissent occurred,to resolve question presented,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,Fair Labor Standards Act,Unions,conservative,dissent in opposite direction,statutory construction,,Federal Statute,Fair Labor Standards,,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
1946-087,1946-087-01,1946-087-01-01,1946-087-01-01-01,4/14/1947,opinion of the court (orally argued),331 U.S. 28,67 S. Ct. 1041,91 L. Ed. 1320,1947 U.S. LEXIS 2852,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,371,UNITED STATES NATIONAL BANK ET AL. v. CHASE NATIONAL BANK ET AL.,2/7/1947,,"creditor, including institution appearing as such; e.g., a finance company",,"creditor, including institution appearing as such; e.g., a finance company",,cert,,,no mention that a 3-judge ct heard case,Pennsylvania Western U.S. District Court,45,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,no reason given,reversed,liberal,no declaration of unconstitutionality,reversed and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,bankruptcy (except in the context of priority of federal fiscal claims),Economic Activity,conservative,dissent in opposite direction,statutory construction,,Federal Statute,"Bankruptcy Code, Bankruptcy Act or Rules, or Bankruptcy Reform Act of 1978",,"FMurphy 	Murphy, Francis ( 02/05/1940 - 07/19/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,1
1946-088,1946-088-01,1946-088-01-01,1946-088-01-01-01,4/14/1947,opinion of the court (orally argued),331 U.S. 40,67 S. Ct. 982,91 L. Ed. 1328,1947 U.S. LEXIS 2942,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,85,TRAILMOBILE COMPANY ET AL. v. WHIRLS,12/19/1946,,"employer. If employer's relations with employees are governed by the nature of the employer's business (e.g., railroad, boat), rather than labor law generally, the more specific designation is used in place of Employer.",,veteran,,cert,,,no mention that a 3-judge ct heard case,Ohio Southern U.S. District Court,41,"U.S. Court of Appeals, Sixth Circuit",,no mention that dissent occurred,federal court conflict and to resolve important or significant question,affirmed,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,military: veteran,Civil Rights,conservative,dissent in opposite direction,statutory construction,,Federal Statute,"Selective Service, Military Selective Service, or Universal Military Service and Training Acts",,"WBRutledge 	Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,2
1946-089,1946-089-01,1946-089-01-01,1946-089-01-01-01,4/14/1947,opinion of the court (orally argued),331 U.S. 70,67 S. Ct. 1062,91 L. Ed. 1346,1947 U.S. LEXIS 2880,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,83,"INDEPENDENT WAREHOUSES, INC. ET AL. v. SCHEELE, RECORDER OF THE TOWNSHIP OF SADDLE RIVER, ET AL.",12/16/1946,,"business, corporation",,"city, town, township, village, or borough government or governmental unit",New Jersey,appeal,,,no mention that a 3-judge ct heard case,State Trial Court,35,State Supreme Court,New Jersey,no mention that dissent occurred,case did not arise on cert or cert not granted,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,state or local government tax,Economic Activity,liberal,dissent in opposite direction,judicial review (state level),,Constitutional Amendment,Fourteenth Amendment (equal protection),,"WBRutledge 	Rutledge, Wiley ( 02/15/1943 - 09/10/1949 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,7,2
1946-090,1946-090-01,1946-090-01-01,1946-090-01-01-01,4/28/1947,opinion of the court (orally argued),331 U.S. 96,67 S. Ct. 1165,91 L. Ed. 1365,1947 U.S. LEXIS 2996,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,755,McCULLOUGH v. KAMMERER CORPORATION ET AL.,4/8/1947,,"holder of a license or permit, or applicant therefor",,"inventor, patent assigner, trademark owner or holder",,cert,,,no mention that a 3-judge ct heard case,California Southern U.S. District Court,6,"U.S. Court of Appeals, Ninth Circuit",,no mention that dissent occurred,no reason given,petition denied or appeal dismissed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,judicial administration: review of non-final order,Judicial Power,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,28 U.S.C. € 227,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,9,0
1946-091,1946-091-01,1946-091-01-01,1946-091-01-01-01,4/28/1947,opinion of the court (orally argued),331 U.S. 100,67 S. Ct. 1140,91 L. Ed. 1368,1947 U.S. LEXIS 2357,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,682,"FLEMING, TEMPORARY CONTROLS ADMINISTRATOR, v. RHODES, SHERIFF, ET AL.",4/7/1947,,"Office of Price Administration, or Price Administrator",,"owner, landlord, or claimant to ownership, fee interest, or possession of land as well as chattels",,appeal,,,no mention that a 3-judge ct heard case,Texas Northern U.S. District Court,51,Texas Northern U.S. District Court,Texas,no mention that dissent occurred,case did not arise on cert or cert not granted,,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)",Judicial Power,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,28 U.S.C. € 401,"SFReed 	Reed, Stanley ( 01/31/1938 - 02/25/1957 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,1
1946-092,1946-092-01,1946-092-01-01,1946-092-01-01-01,4/28/1947,opinion of the court (orally argued),331 U.S. 111,67 S. Ct. 1129,91 L. Ed. 1375,1947 U.S. LEXIS 2851,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,583,"FLEMING, TEMPORARY CONTROLS ADMINISTRATOR, v. MOHAWK WRECKING & LUMBER CO. ET AL.",4/1/1947,,"Office of Price Administration, or Price Administrator",,construction industry,,cert,"Office of Price Administration, or Price Administrator",,no mention that a 3-judge ct heard case,Michigan Eastern U.S. District Court,27,"U.S. Court of Appeals, Sixth Circuit",,no mention that dissent occurred,federal court conflict,affirmed,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,subconstitutional fair procedure: miscellaneous,Criminal Procedure,conservative,dissent in opposite direction,statutory construction,,Court Rules,"Federal Rules of Civil Procedure, including Appellate Procedure, or relevant rules of a circuit court Judicial Code, and admiralty rules",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
